original_step_uid,sub_step_uid,case_external_id,original_step_number,sub_step_index,sub_action_text,sub_expected_text,alignment_mode,original_mapping_status,mapped_keyword_id,mapping_confidence,mapping_notes,mapping_status,canonical_action,element_alias,android_locator_by,android_locator_value,ios_locator_by,ios_locator_value
CCU-231112-1,CCU-231112-1-S1,CCU-231112,1,1,查看 APP,有顯示可連線的 ID,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-231113-1,CCU-231113-1-S1,CCU-231113,1,1,點擊 APP 上的 ID,有 ID 可以點擊,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-231114-1,CCU-231114-1-S1,CCU-231114,1,1,查看 APP,出現倒數30秒,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-231115-1,CCU-231115-1-S1,CCU-231115,1,1,注意聽面板提示聲音,面板提示需要按面板藍牙按鈕兩次,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-231116-1,CCU-231116-1-S1,CCU-231116,1,1,點擊面板藍牙按鈕兩次,藍牙按鈕可以點擊,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-231118-1,CCU-231118-1-S1,CCU-231118,1,1,輸入 Email,可以正常輸入 Email,index_aligned,manual_only,KW-ALIAS-INPUT,manual,from step splitting parser v1; prefill_v1:input_text,manual_only,input,email_field,pending,pending,pending,pending
CCU-231119-1,CCU-231119-1-S1,CCU-231119,1,1,點擊新增 Google 如引導完成,可以正常連上 Google,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,success_message,pending,pending,pending,pending
CCU-231119-1,CCU-231119-1-S2,CCU-231119,1,2,點擊新增 Google 如引導完成,引導成功登入,index_aligned,manual_only,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,login_button,pending,pending,pending,pending
CCU-231120-1,CCU-231120-1-S1,CCU-231120,1,1,Google帳號登入後,顯示登入成功,index_aligned,unmapped,KW-ALIAS-LOGIN-FLOW,manual,from step splitting parser v1; prefill_v2:login_flow,manual_only,tap,login_button,pending,pending,pending,pending
CCU-231121-1,CCU-231121-1-S1,CCU-231121,1,1,查看 APP,進入到控制頁面,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230565-1,CCU-230565-1-S1,CCU-230565,1,1,手機APP正常開啟,APP開啟正常,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230565-2,CCU-230565-2-S1,CCU-230565,2,1,,,no_expected,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230702-1,CCU-230702-1-S1,CCU-230702,1,1,點選合約,顯示合約頁,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230703-1,CCU-230703-1-S1,CCU-230703,1,1,點不同意,無法進入下一步,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,agree_button,pending,pending,pending,pending
CCU-230704-1,CCU-230704-1-S1,CCU-230704,1,1,點同意,進入下一步,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,agree_button,pending,pending,pending,pending
CCU-230705-1,CCU-230705-1-S1,CCU-230705,1,1,面板電源開啟,面板ＭＩＣ亮燈,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230566-1,CCU-230566-1-S1,CCU-230566,1,1,點擊面板藍牙按鈕,面板語音輸出ＩＤ給使用者,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230567-1,CCU-230567-1-S1,CCU-230567,1,1,查看ＡＰＰ,APP 上面出現廣播的 ID,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230568-1,CCU-230568-1-S1,CCU-230568,1,1,點擊 APP 上面的 ID,面板語音提示需要按下面板的藍牙按鈕兩下,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230767-1,CCU-230767-1-S1,CCU-230767,1,1,寧聽面板語音,面板語音說： 目前有一部智慧型手機正在請求透過藍牙與控制面板配對,index_aligned,unmapped,KW-ALIAS-DEVICE-STATE,manual,from step splitting parser v1; prefill_v2:device_state,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230766-1,CCU-230766-1-S1,CCU-230766,1,1,檢查面板,藍牙指示燈必須閃爍得更快,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,assert_visible,bluetooth_status_label,pending,pending,pending,pending
CCU-230706-1,CCU-230706-1-S1,CCU-230706,1,1,查看手機,APP 出現倒數30秒,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230569-1,CCU-230569-1-S1,CCU-230569,1,1,點擊面版藍牙按鈕兩下,APP 出現主頁,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230574-1,CCU-230574-1-S1,CCU-230574,1,1,點選APP頁面的Done,APP進入主頁,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,success_message,pending,pending,pending,pending
CCU-230570-1,CCU-230570-1-S1,CCU-230570,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230575-1,CCU-230575-1-S1,CCU-230575,1,1,手機APP正長開啟,畫面成功顯示著畫面或合約頁,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,success_message,pending,pending,pending,pending
CCU-230576-1,CCU-230576-1-S1,CCU-230576,1,1,面板電源開啟,面板ＭＩＣ亮燈,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230577-1,CCU-230577-1-S1,CCU-230577,1,1,點選面板藍牙按鈕,面板發出回應提示,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230580-1,CCU-230580-1-S1,CCU-230580,1,1,點選面板藍牙按鈕兩次,APP進入主頁,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230707-1,CCU-230707-1-S1,CCU-230707,1,1,點擊 Disconnect,返回 APP,expected_attached_to_first,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,back_button,pending,pending,pending,pending
CCU-230707-1,CCU-230707-1-S2,CCU-230707,1,2,點擊 Cancel,,expected_attached_to_first,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,cancel_button,pending,pending,pending,pending
CCU-230708-1,CCU-230708-1-S1,CCU-230708,1,1,點擊 Disconnect,APP 與面板斷線,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230709-1,CCU-230709-1-S1,CCU-230709,1,1,APP 滑掉,APP 關閉,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230710-1,CCU-230710-1-S1,CCU-230710,1,1,APP 開啟,自動連回,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230711-1,CCU-230711-1-S1,CCU-230711,1,1,查看 APP,APP 出現控制頁面,index_aligned,manual_only,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230712-1,CCU-230712-1-S1,CCU-230712,1,1,查看 APP,手機 APP 在控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230713-1,CCU-230713-1-S1,CCU-230713,1,1,手機 APP 遠離面板,APP 斷線,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230714-1,CCU-230714-1-S1,CCU-230714,1,1,APP 回來面板附近,APP 自動連回面板,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230715-1,CCU-230715-1-S1,CCU-230715,1,1,查看 APP,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230716-1,CCU-230716-1-S1,CCU-230716,1,1,查看手機 APP 背景,背景確認有執行 APP,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,assert_visible,confirm_button,pending,pending,pending,pending
CCU-230717-1,CCU-230717-1-S1,CCU-230717,1,1,手機 APP 遠離面板,APP 斷線,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230718-1,CCU-230718-1-S1,CCU-230718,1,1,APP 回來面板附近（將背景 APP 變回使用中）,APP 自動連回面板,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230720-1,CCU-230720-1-S1,CCU-230720,1,1,查看 APP,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230721-1,CCU-230721-1-S1,CCU-230721,1,1,APP 滑掉,APP 關閉,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230722-1,CCU-230722-1-S1,CCU-230722,1,1,APP 開啟,自動連回,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230723-1,CCU-230723-1-S1,CCU-230723,1,1,查看 APP,原面板為開機無法連回,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230724-1,CCU-230724-1-S1,CCU-230724,1,1,APP 顯示其他有在廣播的面板,APP 出現其他可點選的 ID,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230725-1,CCU-230725-1-S1,CCU-230725,1,1,查看ＡＰＰ,APP 上面出現廣播的 ID,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230726-1,CCU-230726-1-S1,CCU-230726,1,1,點擊 APP 上面的 ID,面板語音提示需要按下面板的藍牙按鈕兩下,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230768-1,CCU-230768-1-S1,CCU-230768,1,1,寧聽面板語音,面板語音說： 目前有一部智慧型手機正在請求透過藍牙與控制面板配對,index_aligned,unmapped,KW-ALIAS-DEVICE-STATE,manual,from step splitting parser v1; prefill_v2:device_state,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230769-1,CCU-230769-1-S1,CCU-230769,1,1,檢查面板,藍牙指示燈必須閃爍得更快,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,assert_visible,bluetooth_status_label,pending,pending,pending,pending
CCU-230727-1,CCU-230727-1-S1,CCU-230727,1,1,查看手機,APP 出現倒數30秒,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230770-1,CCU-230770-1-S1,CCU-230770,1,1,點擊面版藍牙按鈕兩下,APP 出現主頁,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230729-1,CCU-230729-1-S1,CCU-230729,1,1,點選APP頁面的Done,APP進入主頁,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,success_message,pending,pending,pending,pending
CCU-230730-1,CCU-230730-1-S1,CCU-230730,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230735-1,CCU-230735-1-S1,CCU-230735,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230731-1,CCU-230731-1-S1,CCU-230731,1,1,點選面板藍牙按鈕10秒,APP 斷線,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230736-1,CCU-230736-1-S1,CCU-230736,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230732-1,CCU-230732-1-S1,CCU-230732,1,1,點選面板藍牙按鈕10秒,重置面板,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230737-1,CCU-230737-1-S1,CCU-230737,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230733-1,CCU-230733-1-S1,CCU-230733,1,1,點選面板藍牙按鈕10秒,pin密碼重置,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,password_field,pending,pending,pending,pending
CCU-230738-1,CCU-230738-1-S1,CCU-230738,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230734-1,CCU-230734-1-S1,CCU-230734,1,1,點選面板藍牙按鈕10秒,面板上的藍牙會關閉廣播,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230739-1,CCU-230739-1-S1,CCU-230739,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230740-1,CCU-230740-1-S1,CCU-230740,1,1,將 APP 滑掉,APP 關閉,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230741-1,CCU-230741-1-S1,CCU-230741,1,1,等待面板藍牙燈號,藍牙燈號變為白燈,index_aligned,unmapped,KW-ALIAS-WAIT,manual,from step splitting parser v1; prefill_v1:wait_or_timing,manual_only,wait,bluetooth_status_label,pending,pending,pending,pending
CCU-230742-1,CCU-230742-1-S1,CCU-230742,1,1,點選面板藍牙按鈕10秒,重置面板,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230760-1,CCU-230760-1-S1,CCU-230760,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230761-1,CCU-230761-1-S1,CCU-230761,1,1,設定使用馬達的密碼,設定好馬達密碼,index_aligned,unmapped,KW-ALIAS-SET,manual,from step splitting parser v1; prefill_v1:set_or_select,manual_only,tap,password_field,pending,pending,pending,pending
CCU-230762-1,CCU-230762-1-S1,CCU-230762,1,1,點選任意馬達,跳出需要輸入密碼,index_aligned,unmapped,,,from step splitting parser v1,unmapped,input,password_field,pending,pending,pending,pending
CCU-230763-1,CCU-230763-1-S1,CCU-230763,1,1,點選 i forgot my password,顯示提示按面板藍牙按鈕 3 秒,index_aligned,unmapped,KW-ALIAS-LOGIN-FLOW,manual,from step splitting parser v1; prefill_v2:login_flow,manual_only,tap,login_button,pending,pending,pending,pending
CCU-230763-2,CCU-230763-2-S1,CCU-230763,2,1,,,no_expected,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230764-1,CCU-230764-1-S1,CCU-230764,1,1,點擊面板藍牙按鈕 3 秒,APP 顯示請使用新密碼解鎖,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,password_field,pending,pending,pending,pending
CCU-230765-1,CCU-230765-1-S1,CCU-230765,1,1,使用新密碼,馬達可使用,index_aligned,unmapped,KW-ALIAS-LOGIN-FLOW,manual,from step splitting parser v1; prefill_v2:login_flow,manual_only,tap,password_field,pending,pending,pending,pending
CCU-230747-1,CCU-230747-1-S1,CCU-230747,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230748-1,CCU-230748-1-S1,CCU-230748,1,1,藍牙配對成功 將名稱改名為 年份版本（例如：2026CW06C),名稱更改成功,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230749-1,CCU-230749-1-S1,CCU-230749,1,1,在藍牙模式下點擊 Disconnect 斷線,藍牙模式斷線,index_aligned,unmapped,KW-ALIAS-BLUETOOTH,manual,from step splitting parser v1; prefill_v1:bluetooth_action,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230750-1,CCU-230750-1-S1,CCU-230750,1,1,APP 連接模式選擇 Remote 連接,出現年份版本的名稱,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230751-1,CCU-230751-1-S1,CCU-230751,1,1,點擊 Settings,進入Settings 頁面,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,settings_button,pending,pending,pending,pending
CCU-230752-1,CCU-230752-1-S1,CCU-230752,1,1,點擊 Forget RV Panel,Remote 斷線,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230859-1,CCU-230859-1-S1,CCU-230859,1,1,面板電源開啟,面板ＭＩＣ亮燈,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230860-1,CCU-230860-1-S1,CCU-230860,1,1,點擊面板藍牙按鈕,面板語音輸出ＩＤ給使用者,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230862-1,CCU-230862-1-S1,CCU-230862,1,1,查看ＡＰＰ,APP 上面出現廣播的 ID,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230863-1,CCU-230863-1-S1,CCU-230863,1,1,點擊 APP 上面的 ID,面板語音提示需要按下面板的藍牙按鈕兩下,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230864-1,CCU-230864-1-S1,CCU-230864,1,1,寧聽面板語音,面板語音說： 目前有一部智慧型手機正在請求透過藍牙與控制面板配對,index_aligned,unmapped,KW-ALIAS-DEVICE-STATE,manual,from step splitting parser v1; prefill_v2:device_state,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
CCU-230865-1,CCU-230865-1-S1,CCU-230865,1,1,檢查面板,藍牙指示燈必須閃爍得更快,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,assert_visible,bluetooth_status_label,pending,pending,pending,pending
CCU-230866-1,CCU-230866-1-S1,CCU-230866,1,1,查看手機,APP 出現倒數30秒,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230867-1,CCU-230867-1-S1,CCU-230867,1,1,查看手機,等待30秒過時,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,wait,todo_alias,pending,pending,pending,pending
CCU-230868-1,CCU-230868-1-S1,CCU-230868,1,1,查看手機,返回 APP 出現廣播 ID 的畫面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,navigate,back_button,pending,pending,pending,pending
CCU-230756-1,CCU-230756-1-S1,CCU-230756,1,1,查看手機,APP 出現控制頁面,index_aligned,unmapped,KW-ALIAS-CHECK,manual,from step splitting parser v1; prefill_v1:ui_or_device_check,manual_only,tap,todo_alias,pending,pending,pending,pending
CCU-230759-1,CCU-230759-1-S1,CCU-230759,1,1,APP 滑掉,APP 關閉,index_aligned,unmapped,,,from step splitting parser v1,unmapped,tap,todo_alias,pending,pending,pending,pending
CCU-230753-1,CCU-230753-1-S1,CCU-230753,1,1,長按面板藍牙按鈕 10 秒,Android 重置,index_aligned,unmapped,KW-ALIAS-CLICK,manual,from step splitting parser v1; prefill_v1:ui_action_click,manual_only,tap,bluetooth_status_label,pending,pending,pending,pending
